make,model,year,city_mpg,hwy_mpg,comb_mpg,city_co2,hwy_co2,comb_co2
Nissan,ROGUE AWD ROCK CREEK,2026,27,32,29,330,274,307
Porsche,Macan,2026,19,25,21,468,352,423
Porsche,Macan GTS,2026,17,22,19,521,403,466
Porsche,Macan S,2026,17,23,19,520,381,465
Porsche,Macan T,2026,19,25,21,468,361,423
Subaru,CROSSTREK AWD,2026,26,33,29,339,268,307
Subaru,CROSSTREK HYBRID AWD,2026,36,36,36,244,247,246
Subaru,CROSSTREK WILDERNESS AWD,2026,24,29,26,364,305,337
Subaru,FORESTER AWD,2026,26,33,29,343,269,310
Subaru,FORESTER SPORT/TOURING AWD,2026,25,32,28,350,278,317
Subaru,FORESTER WILDERNESS AWD,2026,24,28,26,374,315,347
Subaru,OUTBACK AWD,2026,25,31,27,363,289,330
Subaru,OUTBACK AWD,2026,21,29,24,414,313,369
Subaru,OUTBACK WILDERNESS AWD,2026,21,27,23,426,336,385
Toyota,COROLLA CROSS AWD,2026,29,31,30,307,284,295
Toyota,COROLLA CROSS HYBRID AWD,2026,46,39,42,192,227,211
Volkswagen Group of,Atlas 4Motion Peak Edition,2026,19,25,21,476,355,421
Volkswagen Group of,Atlas Cross Sport 4Motion,2026,20,26,22,456,348,407
Volkswagen Group of,Atlas SE 4Motion,2026,20,26,22,456,348,407
Volkswagen Group of,Atlas SEL 4Motion,2026,19,25,21,468,355,417
Volkswagen Group of,Taos 4Motion,2026,25,33,28,355,274,318
Volkswagen Group of,Tiguan 4Motion,2026,22,30,25,398,294,351
Volkswagen Group of,Tiguan SEL 4Motion,2026,22,29,25,406,304,360
Volvo,XC40 B5 AWD,2026,23,30,26,381,296,343
Volvo,XC60 B5 AWD,2026,23,30,26,384,292,343
BMW,X5 sDrive40i,2026,23,27,25,383,331,360
General Motors,ENCLAVE FWD,2026,20,25,22,444,356,404
General Motors,SUBURBAN 2WD,2026,15,19,16,605,470,544
General Motors,SUBURBAN 2WD,2026,15,20,17,592,453,530
General Motors,SUBURBAN 2WD,2026,21,26,23,485,385,442
General Motors,TAHOE 2WD,2026,15,20,17,587,444,523
General Motors,TAHOE 2WD,2026,15,20,17,592,453,530
General Motors,TAHOE 2WD,2026,22,26,24,457,391,427
General Motors,TRAVERSE FWD,2026,20,26,22,440,342,404
FCA US LLC,Durango RWD,2026,18,25,20,499,355,434
Ford Motor Company,EXPLORER RWD,2026,18,25,21,486,355,423
Ford Motor Company,EXPLORER RWD,2026,20,29,24,433,308,377
General Motors,ACADIA FWD,2026,20,26,22,440,342,404
General Motors,YUKON 2WD,2026,15,20,17,587,444,523
General Motors,YUKON 2WD,2026,15,20,17,592,453,530
General Motors,YUKON 2WD,2026,21,26,23,485,385,442
General Motors,YUKON XL 2WD,2026,15,19,16,605,470,544
General Motors,YUKON XL 2WD,2026,15,20,17,592,453,530
General Motors,YUKON XL 2WD,2026,21,26,23,485,385,442
Hyundai,Palisade FWD,2026,19,25,21,476,348,418
Hyundai,Palisade Hybrid FWD,2026,31,32,31,287,277,283
Hyundai,Palisade Hybrid FWD Blue,2026,33,35,34,262,253,258
Nissan,QX60 FWD,2026,22,28,24,405,318,371
Nissan,QX80 2WD,2026,16,20,18,557,440,504
Toyota,TX 350,2026,21,27,23,418,326,382
Ford Motor Company,AVIATOR RWD,2026,18,25,21,486,355,423
Nissan,ARMADA 2WD,2026,16,20,18,556,444,506
Toyota,GRAND HIGHLANDER HYBRID,2026,37,34,36,237,258,246
Toyota,GRAND HIGHLANDER LE/XLE,2026,21,28,24,419,313,371
Toyota,GRAND HIGHLANDER LIMITED,2026,21,28,24,410,312,366
Toyota,SEQUOIA 2WD,2026,21,24,22,418,366,395
Toyota,SEQUOIA 2WD,2026,21,24,22,418,366,395
Honda,MDX AWD Type-S,2026,17,21,19,523,414,474
aston martin,DBX 707,2026,15,20,17,602,457,537
aston martin,DBX 727,2026,14,19,16,620,456,546
Volkswagen Group of,Q7,2026,20,26,22,453,347,405
Volkswagen Group of,Q7 quattro,2026,18,23,20,492,380,442
Volkswagen Group of,Q8 quattro,2026,17,23,19,514,392,459
Volkswagen Group of,RS Q8 Performance,2026,14,20,16,622,454,547
Volkswagen Group of,SQ7,2026,14,20,16,615,448,540
Volkswagen Group of,SQ8,2026,14,20,16,623,439,540
Volkswagen Group of,Bentayga,2026,14,21,16,650,433,553
Volkswagen Group of,Bentayga EWB,2026,14,21,16,650,433,553
BMW,ALPINA XB7,2026,16,20,17,564,434,506
BMW,X5 M Competition,2026,13,18,15,678,481,589
BMW,X5 M60i xDrive,2026,17,22,19,512,391,458
BMW,X5 xDrive40i,2026,23,27,25,375,323,352
BMW,X6 M Competition,2026,13,18,15,678,481,589
BMW,X6 M60i xDrive,2026,17,22,19,512,391,458
BMW,X6 xDrive40i,2026,22,26,23,406,332,372
BMW,X7 M60i xDrive,2026,16,20,18,550,435,498
BMW,X7 xDrive40i,2026,21,25,23,420,346,387
General Motors,ENCLAVE AWD,2026,20,24,21,454,370,423
General Motors,ESCALADE 4WD,2026,14,18,16,634,495,572
General Motors,ESCALADE V AWD,2026,11,17,13,793,526,691
General Motors,SUBURBAN 4WD,2026,14,18,16,634,495,572
General Motors,SUBURBAN 4WD,2026,14,19,16,646,481,571
General Motors,SUBURBAN 4WD,2026,20,24,22,496,416,460
General Motors,TAHOE 4WD,2026,20,24,22,496,416,460
General Motors,TAHOE 4WD (5.3L),2026,15,19,17,596,462,536
General Motors,TAHOE 4WD (6.2L),2026,14,18,16,634,495,572
General Motors,TRAVERSE AWD,2026,20,24,21,454,370,423
FCA US LLC,Durango AWD,2026,17,24,20,510,374,449
FCA US LLC,Durango AWD,2026,14,21,16,643,415,541
Ford Motor Company,EXPLORER AWD,2026,18,25,20,503,361,439
Ford Motor Company,EXPLORER AWD,2026,20,27,23,448,329,394
Ford Motor Company,EXPLORER TREMOR AWD,2026,19,23,21,460,378,424
Hyundai,GV80 AWD,2026,19,24,21,474,369,427
Hyundai,GV80 AWD,2026,16,22,19,538,395,473
Hyundai,GV80 MHEV,2026,17,22,19,513,410,467
General Motors,ACADIA AWD,2026,20,23,21,454,387,423
General Motors,YUKON 4WD,2026,14,18,16,634,495,572
General Motors,YUKON 4WD,2026,15,19,17,596,462,536
General Motors,YUKON 4WD,2026,20,24,22,496,416,460
General Motors,YUKON XL 4WD,2026,14,18,16,634,495,572
General Motors,YUKON XL 4WD,2026,14,19,16,646,481,571
General Motors,YUKON XL 4WD,2026,20,24,22,496,416,460
Hyundai,Palisade AWD,2026,18,24,20,500,375,444
Hyundai,Palisade Hybrid AWD,2026,29,30,29,307,291,300
Hyundai,Palisade XRT Pro,2026,16,22,19,542,402,479
Nissan,QX60 AWD,2026,22,27,24,411,330,374
Nissan,QX80 4WD,2026,16,19,17,569,464,522
Jaguar Land Rover L,Defender 110,2026,18,22,20,494,400,452
Jaguar Land Rover L,Defender 110,2026,14,18,16,644,489,574
Jaguar Land Rover L,Defender 110 MHEV,2026,15,19,17,597,458,534
Jaguar Land Rover L,Defender 110 Trophy MHEV,2026,17,18,17,524,497,512
Jaguar Land Rover L,Defender 130,2026,14,19,16,644,474,567
Jaguar Land Rover L,Defender 130 Outbound,2026,17,19,18,538,453,500
Jaguar Land Rover L,Defender 90,2026,18,21,19,493,431,465
Jaguar Land Rover L,Defender 90,2026,15,19,16,615,471,550
Jaguar Land Rover L,Range Rover LWB MHEV,2026,16,22,18,574,411,501
Jaguar Land Rover L,Range Rover MHEV,2026,16,23,19,549,389,477
Jaguar Land Rover L,Range Rover Sport MHEV,2026,16,23,19,549,389,477
Jaguar Land Rover L,Range Rover Sport SVR MHEV,2026,16,22,18,568,410,497
Jaguar Land Rover L,Range Rover SV LWB MHEV,2026,16,22,18,574,411,501
Jaguar Land Rover L,Range Rover SV MHEV,2026,16,23,18,566,390,487
Toyota,TX 350 AWD,2026,20,26,23,432,333,387
Toyota,TX 500h AWD,2026,27,28,27,326,316,322
Ford Motor Company,AVIATOR AWD,2026,17,25,20,521,358,447
MAZDA,MAZDA CX-90 4WD,2026,23,28,25,386,324,358
MAZDA,MAZDA CX-90 4WD,2026,23,28,25,386,314,354
Mercedes-Benz,AMG GLE 53 4MATIC+,2026,18,23,20,484,384,439
Mercedes-Benz,AMG GLE 53 4MATIC+ (coupe),2026,18,22,20,497,401,454
Mercedes-Benz,AMG GLE 63 S 4MATIC+,2026,15,20,17,606,434,528
Mercedes-Benz,AMG GLE 63 S 4MATIC+ (coupe),2026,15,21,17,598,432,523
Mercedes-Benz,AMG GLS 63 4MATIC+,2026,15,20,17,614,445,538
Mercedes-Benz,G 550,2026,17,19,18,510,465,490
Mercedes-Benz,GLE 450 4MATIC,2026,19,25,21,474,363,424
Mercedes-Benz,GLE 450 4MATIC (coupe),2026,19,25,21,474,363,424
Mercedes-Benz,GLE 580 4MATIC,2026,15,21,18,575,422,506
Mercedes-Benz,GLS 450 4MATIC,2026,19,24,21,481,364,428
Mercedes-Benz,GLS 580 4MATIC,2026,14,20,16,623,435,539
Mercedes-Benz,GLS 600 4MATIC Maybach,2026,13,18,15,666,487,585
Nissan,ARMADA 4WD,2026,16,19,17,557,469,524
Nissan,ARMADA 4WD PRO-4X,2026,15,18,16,594,488,556
Porsche,Cayenne,2026,17,23,19,524,388,469
Porsche,Cayenne Coupe,2026,17,23,19,524,386,469
Porsche,Cayenne GTS,2026,15,22,18,595,410,512
Porsche,Cayenne GTS Coupe,2026,16,22,18,557,405,489
Porsche,Cayenne S,2026,16,21,18,549,423,492
Porsche,Cayenne S Coupe,2026,16,21,18,549,423,492
Porsche,Cayenne Turbo GT,2026,15,20,17,583,444,521
Rolls-Royce,Black Badge Cullinan,2026,12,19,14,732,459,609
Rolls-Royce,Cullinan,2026,12,19,14,732,459,609
Toyota,GRAND HIGHLANDER AWD LE/XLE,2026,21,27,23,424,325,379
Toyota,GRAND HIGHLANDER AWD LIMITED/PLATINUM,2026,20,26,22,433,338,400
Toyota,GRAND HIGHLANDER HYBRID AWD,2026,36,32,34,246,276,260
Toyota,GRAND HIGHLANDER HYBRID AWD,2026,26,27,27,338,325,332
Toyota,LAND CRUISER,2026,22,25,23,398,355,379
Toyota,SEQUOIA 4WD,2026,19,22,20,473,397,439
Toyota,SEQUOIA 4WD,2026,19,22,20,473,397,439
Volvo,XC90 B5 AWD,2026,22,27,24,405,325,369
Volvo,XC90 B6 AWD,2026,20,26,23,435,342,393
